iter,genotype,score,loss
1,280665,0.4009,1.677261766242981
1,283735,0.4005,1.6632710382461549
1,477478,0.3993,1.6746228921890258
1,318695,0.3915,1.694687914276123
1,888047,0.386,1.7006436141967773
1,659944,0.386,1.702875496864319
1,134354,0.3843,1.749918274116516
1,995470,0.3747,1.7749741521835327
1,941029,0.3583,1.7530071605682374
1,787674,0.3548,1.8352242670059205
1,952776,0.3501,1.7851994159698485
1,690866,0.3439,1.8322706569671632
1,981954,0.3405,1.7987700584411621
1,648259,0.3368,1.8348188095092774
1,314518,0.3367,1.8505567844390869
1,551655,0.336,1.8210508945465087
1,236231,0.3344,1.841131982421875
1,952901,0.3337,1.802642172431946
1,722796,0.3293,1.838395299911499
1,469765,0.3283,1.8182886569976806
1,534565,0.3163,1.9287876607894898
1,429292,0.3065,1.9411885047912598
1,755043,0.3008,1.9196401905059814
1,729410,0.2985,1.9540896953582763
1,251364,0.2968,1.8919528116226196
1,638881,0.2963,1.933001256942749
1,353633,0.2852,2.034493379974365
1,362546,0.2851,1.9384085758209229
1,601901,0.2774,2.4087357814788817
1,658113,0.2747,1.9805304775238037
1,695524,0.2704,2.039980395889282
1,222914,0.2679,2.0204497631072997
1,335352,0.2508,2.592793291473389
1,693062,0.2435,2.210238306427002
1,286571,0.2283,2.7839740295410156
1,663214,0.2135,7.0248671173095705
1,223083,0.2124,2.7794409938812255
1,87532,0.2095,2.420113389968872
1,644393,0.2058,3.5467758697509764
1,121918,0.2036,5.695993808746338
1,1035113,0.1994,10.094358638000488
1,908399,0.1796,5.426130799102784
1,235801,0.1752,7.552858921813965
1,214577,0.1718,12.027134951782227
1,993719,0.1602,9.879313174438476
1,95435,0.159,3.6986167778015138
1,747979,0.1555,9.907633624267579
1,122047,0.152,13.574372808837891
1,116470,0.1472,13.383969696044922
1,947444,0.1422,13.718407815551759
1,321778,0.1406,13.714059323120118
1,448332,0.1401,13.778245492553712
1,1010283,0.1366,10.672441059875489
1,120372,0.1364,12.950115644836426
1,768410,0.1346,13.920747332763671
1,185193,0.1345,10.070540435791015
1,423341,0.1333,8.186270738220214
1,431196,0.1331,13.85842651977539
1,180660,0.1325,5.3864539421081545
1,1033837,0.1313,12.475347532653808
1,179326,0.1282,13.968251000976563
1,255708,0.118,14.171747735595703
1,458413,0.1088,14.33006124267578
1,719283,0.1055,14.379336837768555
1,851614,0.1049,14.42196390991211
1,780726,0.1014,14.399967584228516
1,471703,0.1005,14.495943515014648
1,489687,0.1004,14.495295779418946
1,585374,0.1002,14.503062078857422
1,349916,0.1,14.50628567199707
1,664542,0.1,14.506285690307617
1,715247,0.1,14.506148303222655
1,555512,0.1,14.506285662841798
1,939796,0.1,14.505087902832031
1,936432,0.1,14.506285662841798
1,412030,0.1,14.506285684204101
1,583286,0.1,14.506285690307617
1,357875,0.1,14.504868203735352
